Product,Theme/Deck,Card Name,Set Code,Quantity
Legendary Modern Decks 2026,X-Saber,XX-Saber Emmersblade,L26D-ENX26,1
Legendary Modern Decks 2026,X-Saber,XX-Saber Boggart Knight,L26D-ENX27,3
Legendary Modern Decks 2026,X-Saber,XX-Saber Darksoul,L26D-ENX28,1
Legendary Modern Decks 2026,X-Saber,Mulcharmy Purulia,L26D-ENX29,1
Legendary Modern Decks 2026,X-Saber,Mulcharmy Fuwalos,L26D-ENX30,1
Legendary Modern Decks 2026,X-Saber,Mulcharmy Meowls,L26D-ENX31,1
Legendary Modern Decks 2026,X-Saber,X-Saber Pellina,L26D-ENX32,2
Legendary Modern Decks 2026,X-Saber,X-Saber Bruno,L26D-ENX33,2
Legendary Modern Decks 2026,X-Saber,Emergency Teleport,L26D-ENX34,1
Legendary Modern Decks 2026,X-Saber,Saber Slash,L26D-ENX35,1
Legendary Modern Decks 2026,X-Saber,Fire Formation - Tenki,L26D-ENX36,3
Legendary Modern Decks 2026,X-Saber,Gottoms' Second Call,L26D-ENX37,3
Legendary Modern Decks 2026,X-Saber,Small World,L26D-ENX38,1
Legendary Modern Decks 2026,X-Saber,Saber Hole,L26D-ENX39,1
Legendary Modern Decks 2026,X-Saber,Destructive Daruma Karma Cannon,L26D-ENX40,1
Legendary Modern Decks 2026,X-Saber,Mist Wurm,L26D-ENX41,1
Legendary Modern Decks 2026,X-Saber,X-Saber Urbellum,L26D-ENX42,1
Legendary Modern Decks 2026,X-Saber,Black Rose Dragon,L26D-ENX43,1
Legendary Modern Decks 2026,X-Saber,Naturia Beast,L26D-ENX44,1
Legendary Modern Decks 2026,X-Saber,Naturia Barkion,L26D-ENX45,1
Legendary Modern Decks 2026,X-Saber,XX-Saber Gottoms,L26D-ENX46,2
Legendary Modern Decks 2026,X-Saber,XX-Saber Hyunlei,L26D-ENX47,1
Legendary Modern Decks 2026,X-Saber,"Trishula, Dragon of the Ice Barrier",L26D-ENX48,1
Legendary Modern Decks 2026,X-Saber,X-Saber Souza,L26D-ENX49,1
Legendary Modern Decks 2026,X-Saber,Cloudcastle,L26D-ENX50,1
Legendary Modern Decks 2026,X-Saber,Black Rose Moonlight Dragon,L26D-ENX01,1
Legendary Modern Decks 2026,X-Saber,Ravenous Crocodragon Archethys,L26D-ENX02,1
Legendary Modern Decks 2026,X-Saber,Swordsoul Supreme Sovereign - Chengying,L26D-ENX03,1
Legendary Modern Decks 2026,X-Saber,"Commander Souza, Swordmaster",L26D-ENX04,1
